instance,distance,vehicle_count,fill_rate,calculation_time
3l_cvrp01.txt,322.55,4,53.54,282.5737
3l_cvrp02.txt,346.38,6,27.68,150.5515
3l_cvrp03.txt,459.73,6,37.35,300.1823
3l_cvrp04.txt,480.14,7,31.59,300.3307
3l_cvrp05.txt,531.63,7,41.93,300.3040
3l_cvrp06.txt,511.27,7,31.91,300.1973
3l_cvrp07.txt,1111.79,7,40.88,300.7930
3l_cvrp08.txt,921.67,7,40.43,300.3384
3l_cvrp09.txt,735.30,10,36.15,300.0507
3l_cvrp10.txt,1230.27,10,40.20,300.4082
3l_cvrp11.txt,1152.72,10,38.76,300.4791
3l_cvrp12.txt,685.16,11,36.07,301.6102
3l_cvrp13.txt,5292.48,11,34.17,300.8556
3l_cvrp14.txt,2147.43,12,37.77,300.8156
3l_cvrp15.txt,1935.50,10,43.49,300.4636
3l_cvrp16.txt,798.40,13,28.68,300.7977
3l_cvrp17.txt,996.49,15,31.78,300.8705
3l_cvrp18.txt,2184.21,14,42.32,301.6518
3l_cvrp19.txt,1263.47,16,38.12,302.3192
3l_cvrp20.txt,1225.60,22,44.08,303.3283
3l_cvrp21.txt,2188.55,21,43.57,305.0860
3l_cvrp22.txt,2301.62,23,42.82,301.0919
3l_cvrp23.txt,2441.00,22,42.83,305.2744
3l_cvrp24.txt,2307.16,21,41.73,304.7303
3l_cvrp25.txt,3126.18,27,44.10,306.5082
3l_cvrp26.txt,3686.44,29,46.51,307.6281
3l_cvrp27.txt,3443.13,29,45.41,301.7160
3l_cvrp01.txt,322.55319958521346,4,0.5354222222222222,1800.1615
3l_cvrp02.txt,343.7533480407658,6,0.2768333333333333,1800.0624
3l_cvrp03.txt,466.69146943588714,6,0.37345555555555554,1800.3557
3l_cvrp04.txt,454.21887005649853,7,0.3159047619047619,1800.3939
3l_cvrp05.txt,513.3292678872415,7,0.4192571428571429,1800.5068
3l_cvrp06.txt,512.0388189310161,7,0.3190857142857143,1800.6654
3l_cvrp07.txt,1079.9347414153235,7,0.4087777777777778,1800.9365
3l_cvrp08.txt,912.8178846671415,7,0.40426666666666666,1800.9318
3l_cvrp09.txt,683.6539887032503,9,0.401641975308642,1800.7706
3l_cvrp10.txt,1125.0896863898327,10,0.40197555555555553,3601.7377
3l_cvrp11.txt,1024.5600721202925,8,0.4845111111111111,3600.2069
3l_cvrp12.txt,692.5768611544665,12,0.3306425925925926,3600.7829
3l_cvrp13.txt,3462.642350272613,9,0.417641975308642,3601.5014
3l_cvrp14.txt,2110.7499075854935,11,0.412020202020202,3602.0104
3l_cvrp15.txt,1948.9811226119466,10,0.4348688888888889,3601.1203
3l_cvrp16.txt,787.0808617619689,12,0.3106611111111111,3601.4480
3l_cvrp17.txt,1008.169707362945,16,0.29795555555555553,3602.4571
3l_cvrp18.txt,2105.2225336519305,14,0.42322857142857145,3600.3738
3l_cvrp19.txt,1585.9471702160192,17,0.35879346405228757,3602.0616
3l_cvrp20.txt,1225.6024259838664,22,0.4407969696969697,7203.6434
3l_cvrp21.txt,2188.547116611415,21,0.43568253968253967,7204.7167
3l_cvrp22.txt,2301.6161589292874,23,0.4282202898550725,7202.6886
3l_cvrp23.txt,1973.2971930600556,22,0.42826868686868685,7201.3503
3l_cvrp24.txt,2307.1585048841716,21,0.41733968253968257,7200.6825
3l_cvrp25.txt,3126.1784098125668,27,0.4409901234567901,7205.6453
3l_cvrp26.txt,3686.4442337587816,29,0.46511800766283523,7207.9376
3l_cvrp27.txt,3443.125337584331,29,0.45406896551724135,7207.0325
