instance,balance_load,total_vehicles,safe_vehicles,p_safe
3l_cvrp05_1,0.08605587691937636,8,6,0.75
3l_cvrp05_2,0.07059036570831058,7,6,0.8571428571428571
3l_cvrp05_3,0.10913873837648459,8,5,0.625
3l_cvrp05_4,0.0761926397670201,7,7,1.0
3l_cvrp05_5,0.07131149095684967,7,6,0.8571428571428571
3l_cvrp05_6,0.07548009361149881,7,5,0.7142857142857143
3l_cvrp05_7,0.06955446982916226,7,7,1.0
3l_cvrp05_8,0.09289208142049664,7,7,1.0
3l_cvrp05_9,0.09300793961069968,7,5,0.7142857142857143
3l_cvrp06_0,0.08305157569371509,7,6,0.8571428571428571
3l_cvrp06_1,0.08197552842577159,7,7,1.0
3l_cvrp06_2,0.09816059156387742,7,4,0.5714285714285714
3l_cvrp06_3,0.07340993847616668,7,5,0.7142857142857143
3l_cvrp06_4,0.10354577358562714,7,4,0.5714285714285714
3l_cvrp06_5,0.10267963406486715,7,5,0.7142857142857143
3l_cvrp06_6,0.09407628834146056,7,5,0.7142857142857143
3l_cvrp06_7,0.07137955614417248,7,6,0.8571428571428571
3l_cvrp06_8,0.06451340511347742,7,5,0.7142857142857143
3l_cvrp06_9,0.06539957238338757,7,6,0.8571428571428571
3l_cvrp07_0,0.06417341684361469,8,5,0.625
3l_cvrp07_1,0.06417341684361469,8,5,0.625
3l_cvrp07_2,0.06417341684361469,8,5,0.625
3l_cvrp07_3,0.06417341684361469,8,5,0.625
3l_cvrp07_4,0.06417341684361469,8,5,0.625
3l_cvrp07_5,0.06417341684361469,8,5,0.625
3l_cvrp07_6,0.06417341684361469,8,5,0.625
3l_cvrp07_7,0.06417341684361469,8,5,0.625
3l_cvrp07_8,0.06417341684361469,8,5,0.625
3l_cvrp07_9,0.06417341684361469,8,5,0.625
3l_cvrp08_0,0.1278726306872695,8,4,0.5
3l_cvrp08_1,0.12006551946128896,8,5,0.625
3l_cvrp08_2,0.07904489404800198,7,5,0.7142857142857143
3l_cvrp08_3,0.10043751006409361,7,5,0.7142857142857143
3l_cvrp08_4,0.11903563039872754,9,5,0.5555555555555556
3l_cvrp08_5,0.11903563039872754,9,5,0.5555555555555556
3l_cvrp08_6,0.09642510197141295,7,5,0.7142857142857143
3l_cvrp08_7,0.0755059678049242,7,5,0.7142857142857143
3l_cvrp08_8,0.0918153262433503,7,5,0.7142857142857143
3l_cvrp08_9,0.08663564448096915,7,5,0.7142857142857143
3l_cvrp09_0,0.10695593452027215,10,7,0.7
3l_cvrp09_1,0.0953445708698604,10,8,0.8
3l_cvrp09_2,0.11665618310901552,10,7,0.7
3l_cvrp09_3,0.115974606119257,10,9,0.9
3l_cvrp09_4,0.10813188123818289,10,8,0.8
3l_cvrp09_5,0.11091725098861645,10,8,0.8
3l_cvrp09_6,0.1049864589555386,10,7,0.7
3l_cvrp09_7,0.08964856363999019,10,9,0.9
3l_cvrp09_8,0.10111465412709322,10,8,0.8
3l_cvrp09_9,0.08044607734420248,10,10,1.0
3l_cvrp10_0,0.10490433090776392,10,8,0.8
3l_cvrp10_1,0.09570812540935367,10,8,0.8
3l_cvrp10_2,0.08158081157515494,10,8,0.8
3l_cvrp10_3,0.060313289242826404,9,8,0.8888888888888888
3l_cvrp10_4,0.09715893282572605,10,8,0.8
3l_cvrp10_5,0.08452045067863402,10,9,0.9
3l_cvrp10_6,0.057147744334732374,10,8,0.8
3l_cvrp10_7,0.09180372199356177,10,7,0.7
3l_cvrp10_8,0.057147744334732374,10,8,0.8
3l_cvrp10_9,0.06023849192424571,9,8,0.8888888888888888
3l_cvrp11_0,0.11014316523745815,10,4,0.4
3l_cvrp11_1,0.11014316523745815,10,4,0.4
3l_cvrp11_2,0.11014316523745815,10,4,0.4
3l_cvrp11_3,0.11014316523745815,10,4,0.4
3l_cvrp11_4,0.11014316523745815,10,4,0.4
3l_cvrp11_5,0.11014316523745815,10,4,0.4
3l_cvrp11_6,0.07273972928378478,10,9,0.9
3l_cvrp11_7,0.11975596803759585,10,7,0.7
3l_cvrp11_8,0.11014316523745815,10,4,0.4
3l_cvrp11_9,0.11014316523745815,10,4,0.4
3l_cvrp12_0,0.10536412146120194,11,9,0.8181818181818182
3l_cvrp12_1,0.1146993114785036,12,10,0.8333333333333334
3l_cvrp12_2,0.10017014074865555,12,9,0.75
3l_cvrp12_3,0.12139115890296531,12,8,0.6666666666666666
3l_cvrp12_4,0.09882504322465202,12,10,0.8333333333333334
3l_cvrp12_5,0.08619632186314678,11,10,0.9090909090909091
3l_cvrp12_6,0.09282440725960112,11,9,0.8181818181818182
3l_cvrp12_7,0.09226833138535703,11,8,0.7272727272727273
3l_cvrp12_8,0.1210583548729503,12,7,0.5833333333333334
3l_cvrp12_9,0.10060100713611698,11,9,0.8181818181818182
3l_cvrp13_0,0.11095466590281973,10,5,0.5
3l_cvrp13_1,0.10564042141898607,11,6,0.5454545454545454
3l_cvrp13_2,0.10564042141898607,11,6,0.5454545454545454
3l_cvrp13_3,0.10564042141898607,11,6,0.5454545454545454
3l_cvrp13_4,0.10564042141898607,11,6,0.5454545454545454
3l_cvrp13_5,0.08856896255213334,9,8,0.8888888888888888
3l_cvrp13_6,0.08779584303268792,10,7,0.7
3l_cvrp13_7,0.10564042141898607,11,6,0.5454545454545454
3l_cvrp13_8,0.10564042141898607,11,6,0.5454545454545454
3l_cvrp13_9,0.10564042141898607,11,6,0.5454545454545454
3l_cvrp14_0,0.09786710221682517,11,8,0.7272727272727273
3l_cvrp14_1,0.09068373705366123,11,9,0.8181818181818182
