instance,distance,fill_rate,calculation_time
3l_cvrp01.txt,345.94820891437996,6,0.3569481481481481,24.112298488616943
3l_cvrp01.txt,322.55319958521346,4,0.5354222222222222,25.491204500198364
3l_cvrp01.txt,335.5380484999501,5,0.42833777777777776,25.744125604629517
3l_cvrp01.txt,335.5380484999501,5,0.42833777777777776,28.213903427124023
3l_cvrp01.txt,349.28375242595564,6,0.3569481481481481,27.005441427230835
3l_cvrp01.txt,344.5570773447845,5,0.42833777777777776,28.086766004562378
3l_cvrp01.txt,322.55319958521346,4,0.5354222222222222,28.791091442108154
3l_cvrp01.txt,349.6154490473865,5,0.42833777777777776,27.092974424362183
3l_cvrp01.txt,334.45885578216235,5,0.42833777777777776,29.388792276382446
3l_cvrp01.txt,351.4021082871697,5,0.42833777777777776,26.154324293136597
3l_cvrp02.txt,359.7164381304792,6,0.2768333333333333,13.251211881637573
3l_cvrp02.txt,356.13653182202165,6,0.2768333333333333,13.446077823638916
3l_cvrp02.txt,349.2222038082918,6,0.2768333333333333,13.025034427642822
3l_cvrp02.txt,366.6144126488235,6,0.2768333333333333,14.732807636260986
3l_cvrp02.txt,364.0798535761121,6,0.2768333333333333,14.288300275802612
3l_cvrp02.txt,353.41720709413767,6,0.2768333333333333,13.92635726928711
3l_cvrp02.txt,349.36717868227015,6,0.2768333333333333,13.038628101348877
3l_cvrp02.txt,365.341965788742,6,0.2768333333333333,13.44692325592041
3l_cvrp02.txt,356.4046638181839,6,0.2768333333333333,13.552666664123535
3l_cvrp02.txt,354.962061538083,6,0.2768333333333333,13.660815954208374
3l_cvrp03.txt,497.45528033771484,6,0.37345555555555554,41.575308084487915
3l_cvrp03.txt,530.9792103937872,6,0.37345555555555554,47.874998569488525
3l_cvrp03.txt,505.52657119612405,6,0.37345555555555554,41.936495780944824
3l_cvrp03.txt,505.52657119612405,6,0.37345555555555554,40.56643533706665
3l_cvrp03.txt,533.7056428835765,6,0.37345555555555554,50.68583154678345
3l_cvrp03.txt,514.9507905971293,6,0.37345555555555554,41.64064908027649
3l_cvrp03.txt,490.45625444761794,6,0.37345555555555554,69.02840852737427
3l_cvrp03.txt,531.075677951983,6,0.37345555555555554,56.473206520080566
3l_cvrp03.txt,504.781854847397,6,0.37345555555555554,45.72864770889282
3l_cvrp03.txt,511.78397798561093,6,0.37345555555555554,38.014928340911865
3l_cvrp04.txt,498.65903088468025,7,0.3159047619047619,34.58416938781738
3l_cvrp04.txt,474.75926105089104,7,0.3159047619047619,39.77080965042114
3l_cvrp04.txt,494.7527925963948,7,0.3159047619047619,39.461581230163574
3l_cvrp04.txt,503.54606772871807,7,0.3159047619047619,38.6167893409729
3l_cvrp04.txt,521.9315309607771,7,0.3159047619047619,35.290127992630005
3l_cvrp04.txt,502.51056589198464,7,0.3159047619047619,42.88509798049927
3l_cvrp04.txt,521.9315309607771,7,0.3159047619047619,33.18948674201965
